#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\7011bf2f8f7f2df2fdd2ed7c82053d7f.cab";"53F3248DEEA9A5EC1E8433D541EB6B30789FC3E5DC3A83AE72F71E855796DA2B";"SHA256"
"\Installers\732eefaf52275b7a708311a31c82c814.cab";"BB57302D5C51D78D2D7F2D47EFBCFA26050695DAE60DF604ED919AB6B43CDAF5";"SHA256"
"\Installers\7608a6c73562800dd82c513d6d2dcd94.cab";"5AFB4304BD680381F2E4FE246BD3BD39AD51E4FA40DDEBAFF05955884E00AF76";"SHA256"
"\Installers\767acf9ebc7b9e4a87d264eb57bd7ea7.cab";"661F6667E63F19C0781DE14381AC4031165FF1E79D32D3513B450A1CD1C4C644";"SHA256"
"\Installers\77adc85e5c49bbd36a91bb751dc55b39.cab";"F901585C26ED1821BD2323D591BE62E15232BF7F200C1516AF5C6EA70C375A81";"SHA256"
"\Installers\781e7c95c1b6b277057c9b53b7b5a044.cab";"E2EB00400A76E60E6DF05B375230D99133D8340DF371086241B142A61E417BA3";"SHA256"
"\Installers\791b388183dc99f779aa6adadab92e9a.cab";"30FAC76A15FB41743801D2752F2A513CC84D35135981BD2957EA6C09E2258178";"SHA256"
"\Installers\7a8eaeba46cc44d02a9a46fcbb641a12.cab";"9873ADB6A5745BA9F5A9F588AC2B859B083835656D34906ABD8E745B66E5E1BF";"SHA256"
"\Installers\7c11b295fb7f25c6d684b1957e96a226.cab";"FF7CBA16C3EAD3231ECEAD6E6ECD3867FDD06F02C090AC3AABFBE3229A3A0CDD";"SHA256"
"\Installers\80fe194f291624482820b412e9cc78ad.cab";"1B5123A659D18B9022D60F752FFD594BBF02B0818337526CB3BAC61EC4E4A8ED";"SHA256"
"\Installers\83bd1072721871ea0bdc4fab780d9382.cab";"9947AB9486B726CFA178495612B9E2AE6644C2885302FF615DFF3E117D0522D9";"SHA256"
